n	parva	shlokas	tika_shlokas	tika_pct	tika_chars	raw_hits	hits_per_1000_tika_shlokas	hits_per_100k_tika_chars
1	adiparva	8623	3177	36.8	324258	24	7.55	7.40
2	sabhaparva	2713	1107	40.8	137815	5	4.52	3.63
3	vanaparva	11859	3592	30.3	344562	26	7.24	7.55
4	virataparva	2270	857	37.8	77915	8	9.33	10.27
5	udyogaparva	6613	2391	36.2	255384	18	7.53	7.05
6	bhishmaparva	5868	1393	23.7	416619	10	7.18	2.40
7	dronaparva	9641	1249	13.0	68509	4	3.20	5.84
8	karnaparva	5012	736	14.7	44277	9	12.23	20.33
9	shalyaparva	3635	254	7.0	14091	3	11.81	21.29
10	sauptikaparva	803	132	16.4	10224	0	0.00	0.00
11	striparva	825	162	19.6	8654	2	12.35	23.11
12	shantiparva	13764	6600	48.0	980669	41	6.21	4.18
13	anushasanaparva	7699	2080	27.0	186103	15	7.21	8.06
14	ashwamedhikaparva	2845	732	25.7	102164	0	0.00	0.00
15	ashramavasikaparva	1088	149	13.7	12494	0	0.00	0.00
16	mausalaparva	287	46	16.0	3223	0	0.00	0.00
17	mahaprasthanikaparva	110	31	28.2	1865	0	0.00	0.00
18	swargarohanaparva	316	6	1.9	499	0	0.00	0.00
—	TOTAL	83971	24694	29.4	2989325	165	6.68	5.52
