anchor_type	anchor_id	anchor_key_slp1	target_locus	link_type	source_dataset	match_method	confidence	evidence_count	date
root	root:BAs	BAs	commentary:gita-tm:11.12	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:BU	BU	commentary:gita-tm:2.47	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:Sri	Sri	commentary:gita-tm:10.34	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:Suc	Suc	commentary:gita-tm:18.11	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:gam	gam	commentary:gita-tm:15.13	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:hi	hi	commentary:gita-tm:18.40	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:hi	hi	commentary:gita-tm:7.13	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:hrI	hrI	commentary:gita-tm:16.2	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:jYA	jYA	commentary:gita-tm:7.16	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:jYA	jYA	commentary:gita-tm:7.17	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:jYA	jYA	commentary:gita-tm:7.18	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:kam	kam	commentary:gita-tm:2.21	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:sah	sah	commentary:gita-tm:2.71	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:tan	tan	commentary:gita-tm:18.19	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:tan	tan	commentary:gita-tm:2.61	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:tan	tan	commentary:gita-tm:4.5	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:tan	tan	commentary:gita-tm:7.22	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:tan	tan	commentary:gita-tm:9.7	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:tan	tan	commentary:gita-tm:9.9	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:vah	vah	commentary:gita-tm:3.10	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:vah	vah	commentary:gita-tm:3.11	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:yA	yA	commentary:gita-tm:15.1	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:yA	yA	commentary:gita-tm:5.23	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:yam	yam	commentary:gita-tm:2.70	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:yam	yam	commentary:gita-tm:6.2	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:yam	yam	commentary:gita-tm:6.22	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:yam	yam	commentary:gita-tm:7.21	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:yam	yam	commentary:gita-tm:8.10	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:yam	yam	commentary:gita-tm:8.6	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:yat	yat	commentary:gita-tm:13.4	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:yat	yat	commentary:gita-tm:5.5	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	1	11-07-2026
root	root:yat	yat	commentary:gita-tm:9.27	commentary-citation	CommentaryStrategies/data/gita_tm.json	exact	0.95	2	11-07-2026
