section	term	scope	metric	value
dcs_epoch	asura	RV	tokens	98
dcs_epoch	asura	RV	per10k	5.77
dcs_epoch	asura	AV	tokens	67
dcs_epoch	asura	AV	per10k	6.54
dcs_epoch	asura	YV-samhitas	tokens	235
dcs_epoch	asura	YV-samhitas	per10k	13.99
dcs_epoch	asura	Brahmanas	tokens	450
dcs_epoch	asura	Brahmanas	per10k	11.89
dcs_epoch	asura	Aranyaka+Upanisads	tokens	37
dcs_epoch	asura	Aranyaka+Upanisads	per10k	4.59
dcs_epoch	asura	Epic	tokens	767
dcs_epoch	asura	Epic	per10k	5.13
dcs_epoch	rta	RV	tokens	416
dcs_epoch	rta	RV	per10k	24.47
dcs_epoch	rta	AV	tokens	91
dcs_epoch	rta	AV	per10k	8.88
dcs_epoch	rta	YV-samhitas	tokens	104
dcs_epoch	rta	YV-samhitas	per10k	6.19
dcs_epoch	rta	Brahmanas	tokens	72
dcs_epoch	rta	Brahmanas	per10k	1.90
dcs_epoch	rta	Aranyaka+Upanisads	tokens	23
dcs_epoch	rta	Aranyaka+Upanisads	per10k	2.85
dcs_epoch	rta	Epic	tokens	43
dcs_epoch	rta	Epic	per10k	0.29
dcs_epoch	yajna	RV	tokens	491
dcs_epoch	yajna	RV	per10k	28.89
dcs_epoch	yajna	AV	tokens	223
dcs_epoch	yajna	AV	per10k	21.76
dcs_epoch	yajna	YV-samhitas	tokens	1395
dcs_epoch	yajna	YV-samhitas	per10k	83.06
dcs_epoch	yajna	Brahmanas	tokens	2556
dcs_epoch	yajna	Brahmanas	per10k	67.55
dcs_epoch	yajna	Aranyaka+Upanisads	tokens	204
dcs_epoch	yajna	Aranyaka+Upanisads	per10k	25.31
dcs_epoch	yajna	Epic	tokens	1311
dcs_epoch	yajna	Epic	per10k	8.77
dcs_epoch_size	-	RV	tokens	169972
dcs_epoch_size	-	AV	tokens	102461
dcs_epoch_size	-	YV-samhitas	tokens	167945
dcs_epoch_size	-	Brahmanas	tokens	378392
dcs_epoch_size	-	Aranyaka+Upanisads	tokens	80602
dcs_epoch_size	-	Epic	tokens	1495430
dcs_number	asura	RV	Sing	58
dcs_number	asura	RV	Plur	11
dcs_number	asura	RV	Dual	2
dcs_number	asura	RV	unmarked	27
dcs_number	asura	AV	Sing	13
dcs_number	asura	AV	Plur	42
dcs_number	asura	AV	unmarked	12
dcs_number	asura	YV-samhitas	Sing	9
dcs_number	asura	YV-samhitas	Plur	220
dcs_number	asura	YV-samhitas	unmarked	6
dcs_number	asura	Brahmanas	Sing	11
dcs_number	asura	Brahmanas	Plur	399
dcs_number	asura	Brahmanas	Dual	1
dcs_number	asura	Brahmanas	unmarked	39
dcs_number	asura	Aranyaka+Upanisads	Sing	2
dcs_number	asura	Aranyaka+Upanisads	Plur	35
dcs_number	asura	Epic	Sing	171
dcs_number	asura	Epic	Plur	334
dcs_number	asura	Epic	Dual	17
dcs_number	asura	Epic	unmarked	245
sm_pairs	asura	Elizarenkova-RV	verse_pairs	126
sm_pairs	asura	Elizarenkova-RV	Asur_capital	62
sm_pairs	asura	Elizarenkova-RV	asur_lowercase	36
sm_pairs	asura	Elizarenkova-RV	demon	0
sm_pairs	asura	Elizarenkova-RV	vladyka_gospodin	4
sm_pairs	asura	Elizarenkova-RV	other_or_misaligned	27
sm_pairs	rta	Elizarenkova-RV	verse_pairs	516
sm_pairs	rta	Elizarenkova-RV	zakon	406
sm_pairs	rta	Elizarenkova-RV	istina	52
sm_pairs	rta	Elizarenkova-RV	poryadok	6
sm_pairs	rta	Elizarenkova-RV	pravda	5
sm_pairs	rta	Elizarenkova-RV	rita_translit	0
sm_pairs	rta	Elizarenkova-RV	other_or_misaligned	73
sm_pairs	yajna	Elizarenkova-RV	verse_pairs	561
sm_pairs	yajna	Elizarenkova-RV	zhertva_zhertvenn	469
sm_pairs	yajna	Elizarenkova-RV	zhertvoprinoshenie	129
sm_pairs	yajna	Elizarenkova-RV	obryad	51
sm_pairs	yajna	Elizarenkova-RV	yajna_translit	0
sm_pairs	yajna	Elizarenkova-RV	other_or_misaligned	3
sm_pairs	asura	Syrkin-Upanishads	verse_pairs	14
sm_pairs	asura	Syrkin-Upanishads	Asur_capital	3
sm_pairs	asura	Syrkin-Upanishads	asur_lowercase	8
sm_pairs	rta	Syrkin-Upanishads	verse_pairs	24
sm_pairs	rta	Syrkin-Upanishads	zakon	2
sm_pairs	rta	Syrkin-Upanishads	poryadok	2
sm_pairs	rta	Syrkin-Upanishads	pravda	4
sm_pairs	rta	Syrkin-Upanishads	rita_translit	0
sm_pairs	yajna	Syrkin-Upanishads	verse_pairs	63
sm_pairs	yajna	Syrkin-Upanishads	zhertvoprinoshenie	30
sm_pairs	yajna	Syrkin-Upanishads	zhertva_zhertvenn	28
sm_pairs	yajna	Syrkin-Upanishads	obryad	5
sm_pairs	yajna	Syrkin-Upanishads	yajna_translit	14
sm_lines	asura	Elizarenkova-RV	lines_total	31717
