section	term	scope	metric	value
sm_lines	asura	Elizarenkova-RV	asur_lines	175
sm_lines	asura	Elizarenkova-RV	Asur_capital_noninitial	97
sm_lines	asura	Elizarenkova-RV	asur_plus_demon	6
sm_lines	asura	Elizarenkova-AV	lines_total	13251
sm_lines	asura	Elizarenkova-AV	asur_lines	66
sm_lines	asura	Kalyanov-MBh	lines_total	17310
sm_lines	asura	Kalyanov-MBh	asur_lines	375
sm_lines	asura	Kalyanov-MBh	Asur_capital_noninitial	2
sm_lines	asura	Kalyanov-MBh	asur_plus_demon	86
sm_lines	asura	Vasilkov-Neveleva-MBh	lines_total	36674
sm_lines	asura	Vasilkov-Neveleva-MBh	asur_lines	168
sm_lines	asura	Vasilkov-Neveleva-MBh	asur_plus_demon	32
sm_lines	asura	Grintser-Ram	lines_total	20201
sm_lines	asura	Grintser-Ram	asur_lines	100
sm_lines	asura	Grintser-Ram	asur_plus_demon	12
sm_lines	asura	Leonov-RamV	lines_total	5800
sm_lines	asura	Leonov-RamV	asur_lines	33
sm_lines	asura	Leonov-RamV	asur_plus_demon	0
sm_lines	asura	Syrkin-Upanishads	lines_total	5772
sm_lines	asura	Syrkin-Upanishads	asur_lines	44
sm_lines	asura	Syrkin-Upanishads	asur_plus_demon	7
sm_lines	yajna	Elizarenkova-RV	zhertvoprinoshenie_lines	602
sm_lines	yajna	Kalyanov-MBh	zhertvoprinoshenie_lines	478
sm_lines	yajna	Vasilkov-Neveleva-MBh	zhertvoprinoshenie_lines	425
sm_lines	yajna	Syrkin-Upanishads	zhertvoprinoshenie_lines	108
sm_lines	rta	Elizarenkova-RV	rita_word_lines	4
sm_lines	rta	Elizarenkova-AV	rita_word_lines	2
dcs_bhg	-	MBh-6.23-40	tokens	0
